,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
330084,1203.4725,Loet Leydesdorff,Loet Leydesdorff and Tobias Opthof,"Citation Analysis with Medical Subject Headings (MeSH) using the Web of
  Knowledge: A new routine","Journal of the American Society for Information Science and
  Technology (2012, in press)",,,,cs.DL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Citation analysis of documents retrieved from the Medline database (at the
Web of Knowledge) has been possible only on a case-by-case basis. A technique
is here developed for citation analysis in batch mode using both Medical
Subject Headings (MeSH) at the Web of Knowledge and the Science Citation Index
at the Web of Science. This freeware routine is applied to the case of ""Brugada
Syndrome,"" a specific disease and field of research (since 1992). The journals
containing these publications, for example, are attributed to Web-of-Science
Categories other than ""Cardiac and Cardiovascular Systems""), perhaps because of
the possibility of genetic testing for this syndrome in the clinic. With this
routine, all the instruments available for citation analysis can now be used on
the basis of MeSH terms. Other options for crossing between Medline, WoS, and
Scopus are also reviewed.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 12:56:26 GMT'}, {'version': 'v2', 'created': 'Mon, 2 Jul 2012 19:43:45 GMT'}]",2012-07-03,"[['Leydesdorff', 'Loet', ''], ['Opthof', 'Tobias', '']]"
330091,1203.4732,Gianluca Della Vedova,"Paola Bonizzoni, Peter J. Cameron, Gianluca Della Vedova, Alberto
  Leporati, Giancarlo Mauri","A Unifying Framework to Characterize the Power of a Language to Express
  Relations",23 pages,,,,cs.DB,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this extended abstract we provide a unifying framework that can be used to
characterize and compare the expressive power of query languages for different
data base models. The framework is based upon the new idea of valid partition,
that is a partition of the elements of a given data base, where each class of
the partition is composed by elements that cannot be separated (distinguished)
according to some level of information contained in the data base. We describe
two applications of this new framework, first by deriving a new syntactic
characterization of the expressive power of relational algebra which is
equivalent to the one given by Paredaens, and subsequently by studying the
expressive power of a simple graph-based data model.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 13:34:38 GMT'}]",2012-03-22,"[['Bonizzoni', 'Paola', ''], ['Cameron', 'Peter J.', ''], ['Della Vedova', 'Gianluca', ''], ['Leporati', 'Alberto', ''], ['Mauri', 'Giancarlo', '']]"
330099,1203.474,Scott Aaronson,Scott Aaronson and Paul Christiano,Quantum Money from Hidden Subspaces,"48 pages, minor corrections and improvements, journal version to
  appear in Theory of Computing; Proceedings of ACM STOC 2012",,,,quant-ph cs.CC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Forty years ago, Wiesner pointed out that quantum mechanics raises the
striking possibility of money that cannot be counterfeited according to the
laws of physics. We propose the first quantum money scheme that is (1)
public-key, meaning that anyone can verify a banknote as genuine, not only the
bank that printed it, and (2) cryptographically secure, under a ""classical""
hardness assumption that has nothing to do with quantum money. Our scheme is
based on hidden subspaces, encoded as the zero-sets of random multivariate
polynomials. A main technical advance is to show that the ""black-box"" version
of our scheme, where the polynomials are replaced by classical oracles, is
unconditionally secure. Previously, such a result had only been known relative
to a quantum oracle (and even there, the proof was never published). Even in
Wiesner's original setting -- quantum money that can only be verified by the
bank -- we are able to use our techniques to patch a major security hole in
Wiesner's scheme. We give the first private-key quantum money scheme that
allows unlimited verifications and that remains unconditionally secure, even if
the counterfeiter can interact adaptively with the bank. Our money scheme is
simpler than previous public-key quantum money schemes, including a knot-based
scheme of Farhi et al. The verifier needs to perform only two tests, one in the
standard basis and one in the Hadamard basis -- matching the original intuition
for quantum money, based on the existence of complementary observables. Our
security proofs use a new variant of Ambainis's quantum adversary method, and
several other tools that might be of independent interest.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 14:10:46 GMT'}, {'version': 'v2', 'created': 'Sun, 25 Mar 2012 00:35:23 GMT'}, {'version': 'v3', 'created': 'Mon, 17 Sep 2012 19:12:17 GMT'}]",2012-09-18,"[['Aaronson', 'Scott', ''], ['Christiano', 'Paul', '']]"
330104,1203.4745,Jason Priem,"Jason Priem, Heather A. Piwowar, Bradley M. Hemminger",Altmetrics in the wild: Using social media to explore scholarly impact,"5 tables, 13 figures",,,,cs.DL,http://creativecommons.org/licenses/by/3.0/,"  In growing numbers, scholars are integrating social media tools like blogs,
Twitter, and Mendeley into their professional communications. The online,
public nature of these tools exposes and reifies scholarly processes once
hidden and ephemeral. Metrics based on this activities could inform broader,
faster measures of impact, complementing traditional citation metrics. This
study explores the properties of these social media-based metrics or
""altmetrics"", sampling 24,331 articles published by the Public Library of
Science.
  We find that that different indicators vary greatly in activity. Around 5% of
sampled articles are cited in Wikipedia, while close to 80% have been included
in at least one Mendeley library. There is, however, an encouraging diversity;
a quarter of articles have nonzero data from five or more different sources.
Correlation and factor analysis suggest citation and altmetrics indicators
track related but distinct impacts, with neither able to describe the complete
picture of scholarly use alone. There are moderate correlations between
Mendeley and Web of Science citation, but many altmetric indicators seem to
measure impact mostly orthogonal to citation. Articles cluster in ways that
suggest five different impact ""flavors"", capturing impacts of different types
on different audiences; for instance, some articles may be heavily read and
saved by scholars but seldom cited. Together, these findings encourage more
research into altmetrics as complements to traditional citation measures.
","[{'version': 'v1', 'created': 'Tue, 20 Mar 2012 19:46:25 GMT'}]",2012-03-22,"[['Priem', 'Jason', ''], ['Piwowar', 'Heather A.', ''], ['Hemminger', 'Bradley M.', '']]"
330105,1203.4746,Anastasios Kyrillidis,Anastasios Kyrillidis and Volkan Cevher,"Sublinear Time, Approximate Model-based Sparse Recovery For All","This paper has been drawn by the author due to a error in the
  derivation",,,,cs.IT math.IT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We describe a probabilistic, {\it sublinear} runtime, measurement-optimal
system for model-based sparse recovery problems through dimensionality
reducing, {\em dense} random matrices. Specifically, we obtain a linear sketch
$u\in \R^M$ of a vector $\bestsignal\in \R^N$ in high-dimensions through a
matrix $\Phi \in \R^{M\times N}$ $(M<N)$. We assume this vector can be well
approximated by $K$ non-zero coefficients (i.e., it is $K$-sparse). In
addition, the nonzero coefficients of $\bestsignal$ can obey additional
structure constraints such as matroid, totally unimodular, or knapsack
constraints, which dub as model-based sparsity. We construct the dense
measurement matrix using a probabilistic method so that it satisfies the
so-called restricted isometry property in the $\ell_2$-norm. While recovery
using such matrices is measurement-optimal as they require the smallest sketch
sizes $\numsam= O(\sparsity \log(\dimension/\sparsity))$, the existing
algorithms require superlinear runtime $\Omega(N\log(N/K))$ with the exception
of Porat and Strauss, which requires $O(\beta^5\epsilon^{-3}K(N/K)^{1/\beta}),
~\beta \in \mathbb{Z}_{+}, $ but provides an $\ell_1/\ell_1$ approximation
guarantee. In contrast, our approach features $ O\big(\max \lbrace \sketch
\sparsity \log^{O(1)} \dimension, ~\sketch \sparsity^2 \log^2
(\dimension/\sparsity) \rbrace\big) $ complexity where $ L \in \mathbb{Z}_{+}$
is a design parameter, independent of $\dimension$, requires a smaller sketch
size, can accommodate model sparsity, and provides a stronger $\ell_2/\ell_1$
guarantee. Our system applies to ""for all"" sparse signals, is robust against
bounded perturbations in $u$ as well as perturbations on $\bestsignal$ itself.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 14:40:46 GMT'}, {'version': 'v2', 'created': 'Thu, 21 Jun 2012 15:26:23 GMT'}]",2012-06-22,"[['Kyrillidis', 'Anastasios', ''], ['Cevher', 'Volkan', '']]"
330110,1203.4751,Srivatsan Ravi Mr,"Vincent Gramoli, Petr Kuznetsov, Srivatsan Ravi",Optimism for Boosting Concurrency,,,,,cs.DC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Modern concurrent programming benefits from a large variety of
synchronization techniques. These include conventional pessimistic locking, as
well as optimistic techniques based on conditional synchronization primitives
or transactional memory. Yet, it is unclear which of these approaches better
leverage the concurrency inherent to multi-cores.
  In this paper, we compare the level of concurrency one can obtain by
converting a sequential program into a concurrent one using optimistic or
pessimistic techniques. To establish fair comparison of such implementations,
we introduce a new correctness criterion for concurrent programs, defined
independently of the synchronization techniques they use.
  We treat a program's concurrency as its ability to accept a concurrent
schedule, a metric inspired by the theories of both databases and transactional
memory. We show that pessimistic locking can provide strictly higher
concurrency than transactions for some applications whereas transactions can
provide strictly higher concurrency than pessimistic locks for others. Finally,
we show that combining the benefits of the two synchronization techniques can
provide strictly more concurrency than any of them individually. We propose a
list-based set algorithm that is optimal in the sense that it accepts all
correct concurrent schedules. As we show via experimentation, the optimality in
terms of concurrency is reflected by scalability gains.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 14:44:40 GMT'}, {'version': 'v2', 'created': 'Thu, 24 May 2012 12:47:54 GMT'}, {'version': 'v3', 'created': 'Mon, 27 May 2013 15:01:56 GMT'}, {'version': 'v4', 'created': 'Wed, 3 Jul 2013 15:18:00 GMT'}, {'version': 'v5', 'created': 'Fri, 4 Oct 2013 18:16:19 GMT'}, {'version': 'v6', 'created': 'Fri, 14 Feb 2014 16:49:05 GMT'}, {'version': 'v7', 'created': 'Tue, 27 May 2014 09:41:32 GMT'}, {'version': 'v8', 'created': 'Tue, 13 Oct 2015 21:02:53 GMT'}]",2015-10-15,"[['Gramoli', 'Vincent', ''], ['Kuznetsov', 'Petr', ''], ['Ravi', 'Srivatsan', '']]"
330113,1203.4754,Pierre Lescanne,"Silvia Ghilezan, Pierre Lescanne (LIP), Dragisa Zunic","Computational interpretation of classical logic with explicit structural
  rules",,,,,cs.LO cs.DC math.LO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present a calculus providing a Curry-Howard correspondence to classical
logic represented in the sequent calculus with explicit structural rules,
namely weakening and contraction. These structural rules introduce explicit
erasure and duplication of terms, respectively. We present a type system for
which we prove the type-preservation under reduction. A mutual relation with
classical calculus featuring implicit structural rules has been studied in
detail. From this analysis we derive strong normalisation property.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 14:53:02 GMT'}]",2012-03-23,"[['Ghilezan', 'Silvia', '', 'LIP'], ['Lescanne', 'Pierre', '', 'LIP'], ['Zunic', 'Dragisa', '']]"
330115,1203.4756,Eliyahu Osherovich,Eliyahu Osherovich,Numerical methods for phase retrieval,PhD. Thesis,,,PHD-2012-04,physics.optics astro-ph.IM cs.NA physics.data-an,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this work we consider the problem of reconstruction of a signal from the
magnitude of its Fourier transform, also known as phase retrieval. The problem
arises in many areas of astronomy, crystallography, optics, and coherent
diffraction imaging (CDI). Our main goal is to develop an efficient
reconstruction method based on continuous optimization techniques. Unlike
current reconstruction methods, which are based on alternating projections, our
approach leads to a much faster and more robust method. However, all previous
attempts to employ continuous optimization methods, such as Newton-type
algorithms, to the phase retrieval problem failed. In this work we provide an
explanation for this failure, and based on this explanation we devise a
sufficient condition that allows development of new reconstruction
methods---approximately known Fourier phase. We demonstrate that a rough (up to
$\pi/2$ radians) Fourier phase estimate practically guarantees successful
reconstruction by any reasonable method. We also present a new reconstruction
method whose reconstruction time is orders of magnitude faster than that of the
current method-of-choice in phase retrieval---Hybrid Input-Output (HIO).
Moreover, our method is capable of successful reconstruction even in the
situations where HIO is known to fail. We also extended our method to other
applications: Fourier domain holography, and interferometry. Additionally we
developed a new sparsity-based method for sub-wavelength CDI. Using this method
we demonstrated experimental resolution exceeding several times the physical
limit imposed by the diffraction light properties (so called diffraction
limit).
","[{'version': 'v1', 'created': 'Sun, 11 Mar 2012 09:02:13 GMT'}]",2012-03-22,"[['Osherovich', 'Eliyahu', '']]"
330116,1203.4757,Eliyahu Osherovich,"Eliyahu Osherovich, Oren Cohen, Yonina C. Eldar, and Mordechai Segev","Designing and using prior data in Ankylography: Recovering a 3D object
  from a single diffraction intensity pattern",,,,,physics.optics astro-ph.IM cs.NA physics.data-an,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present a novel method for Ankylography: three-dimensional structure
reconstruction from a single shot diffraction intensity pattern. Our approach
allows reconstruction of objects containing many more details than was ever
demonstrated, in a faster and more accurate fashion
","[{'version': 'v1', 'created': 'Thu, 8 Mar 2012 14:58:16 GMT'}]",2012-03-22,"[['Osherovich', 'Eliyahu', ''], ['Cohen', 'Oren', ''], ['Eldar', 'Yonina C.', ''], ['Segev', 'Mordechai', '']]"
330123,1203.4764,Mikel Hernaez Mr.,"Mikel Hernaez, Pedro M. Crespo, Javier Del Ser","On the Design of a Novel Joint Network-Channel Coding Scheme for the
  Multiple Access Relay Channel","28 pages, 9 figures; Submitted to IEEE Journal on Selected Areas in
  Communications - Special Issue on Theories and Methods for Advanced Wireless
  Relays, 2012",,10.1109/JSAC.2013.130802,,cs.IT math.IT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This paper proposes a novel joint non-binary network-channel code for the
Time-Division Decode-and-Forward Multiple Access Relay Channel (TD-DF-MARC),
where the relay linearly combines -- over a non-binary finite field -- the
coded sequences from the source nodes. A method based on an EXIT chart analysis
is derived for selecting the best coefficients of the linear combination.
Moreover, it is shown that for different setups of the system, different
coefficients should be chosen in order to improve the performance. This
conclusion contrasts with previous works where a random selection was
considered. Monte Carlo simulations show that the proposed scheme outperforms,
in terms of its gap to the outage probabilities, the previously published joint
network-channel coding approaches. Besides, this gain is achieved by using very
short-length codewords, which makes the scheme particularly attractive for
low-latency applications.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 15:37:13 GMT'}]",2016-11-15,"[['Hernaez', 'Mikel', ''], ['Crespo', 'Pedro M.', ''], ['Del Ser', 'Javier', '']]"
330147,1203.4788,Altay Brusan,Altay Brusan,"Very Short Literature Survey From Supervised Learning To Surrogate
  Modeling",,,,,cs.LG,http://creativecommons.org/licenses/by/3.0/,"  The past century was era of linear systems. Either systems (especially
industrial ones) were simple (quasi)linear or linear approximations were
accurate enough. In addition, just at the ending decades of the century
profusion of computing devices were available, before then due to lack of
computational resources it was not easy to evaluate available nonlinear system
studies. At the moment both these two conditions changed, systems are highly
complex and also pervasive amount of computation strength is cheap and easy to
achieve. For recent era, a new branch of supervised learning well known as
surrogate modeling (meta-modeling, surface modeling) has been devised which
aimed at answering new needs of modeling realm. This short literature survey is
on to introduce surrogate modeling to whom is familiar with the concepts of
supervised learning. Necessity, challenges and visions of the topic are
considered.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 17:29:17 GMT'}]",2012-03-22,"[['Brusan', 'Altay', '']]"
